policy,seed,type,instance,nnodes,nlps,stime,gap,status,ndomchgs,ncutoffs,walltime,proctime,objval
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_118.lp,1,3,0.05,0.0,optimal,0,0,0.044348666444420815,0.044351413000001116,30.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_119.lp,1,11,0.13,0.0,optimal,0,0,0.13184626400470734,0.13185440500000212,21.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_120.lp,1,40,0.42,0.0,optimal,1,1,0.42452957667410374,0.42443570300000033,34.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_121.lp,1,5,0.08,0.0,optimal,0,0,0.08382668904960155,0.08382991499999903,23.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_122.lp,1,3,0.06,0.0,optimal,0,0,0.059469232335686684,0.059473269000001494,26.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_123.lp,1,5,0.07,0.0,optimal,0,0,0.0704976674169302,0.07046159700000132,28.999999999999986
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_124.lp,1,8,0.12,0.0,optimal,0,0,0.11699221283197403,0.1169958340000008,27.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_125.lp,1,5,0.06,0.0,optimal,0,0,0.07023933716118336,0.07024191900000076,25.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_126.lp,1,4,0.04,0.0,optimal,0,0,0.040829991921782494,0.0408329700000003,26.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_127.lp,1,4,0.07,0.0,optimal,0,0,0.07903575897216797,0.07903838600000057,23.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_128.lp,1,10,0.13,0.0,optimal,0,0,0.13482929207384586,0.13483249999999813,33.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_129.lp,3,37,0.33,0.0,optimal,3,0,0.33899950981140137,0.33899092400000086,24.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_130.lp,1,1,0.02,0.0,optimal,0,0,0.014818131923675537,0.01482068099999978,9.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_131.lp,1,2,0.03,0.0,optimal,0,0,0.03767148219048977,0.0376741989999978,18.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_132.lp,1,3,0.06,0.0,optimal,0,0,0.05805058404803276,0.05805290200000002,30.00000000000003
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_133.lp,1,10,0.1,0.0,optimal,0,0,0.10444026812911034,0.10444455000000019,20.0
